"Ano-Mes.Ano-Mes";MT/Valor
"NOV-2019";83.96
"JAN-2020";83.25
"MAR-2020";86.87
"MAI-2020";85.71
"JUL-2020";89.58
"SET-2020";88.31
"NOV-2020";85.56
"JAN-2021";84.72
"MAR-2021";93.07
"MAI-2021";89.39
"JUL-2021";92.32
"SET-2021";108.47
"NOV-2021";127.05
"JAN-2022";130.64
"MAR-2022";129.05
"MAI-2022";129.65
"JUL-2022";127.35
"SET-2022";122.02
"JAN-2023";126.46
"MAR-2023";122.52
"MAI-2023";108.35
"JUL-2023";109.33
"SET-2023";115.82
"NOV-2023";117.39
"JAN-2024";114.99
"MAR-2024";112.92
"MAI-2024";112.52
"JUL-2024";115.11
"SET-2024";111.56
"NOV-2024";111.79
"MAR-2025";101.86
"JUL-2025";100.66
"NOV-2025";109.17
