"Ano-Mes.Ano-Mes";RS/Valor
"MAR-2019";36.24
"MAI-2019";37.07
"JUL-2019";37.96
"SET-2019";37.42
"NOV-2019";37.43
"JAN-2020";35.24
"MAR-2020";34.55
"MAI-2020";35.47
"JUL-2020";35.65
"SET-2020";36.92
"NOV-2020";36.9
"JAN-2021";38.72
"MAR-2021";41.68
"MAI-2021";42.12
"JUL-2021";47.56
"SET-2021";50.63
"NOV-2021";63.18
"JAN-2022";63.8
"MAR-2022";68.06
"MAI-2022";65.77
"JUL-2022";66.98
"SET-2022";63.25
"NOV-2022";63.09
"JAN-2023";58.91
"MAR-2023";57.28
"MAI-2023";52.95
"JUL-2023";50.87
"SET-2023";52.59
"NOV-2023";54.35
"JAN-2024";54.07
"MAR-2024";49.71333333333333
"MAI-2024";49.83
"JUL-2024";52.47666666666667
"SET-2024";54.123333333333335
"NOV-2024";53.46
"MAR-2025";54.27
"NOV-2025";58.75
