"Ano-Mes.Ano-Mes";SP/Valor
"JAN-2018";99.58
"MAR-2018";96.08
"MAI-2018";95.53
"JUL-2018";96.84
"SET-2018";95.96
"NOV-2018";99.03
"JAN-2019";100.46
"MAR-2019";106.9
"MAI-2019";108.13
"JUL-2019";111.06
"SET-2019";109.99
"NOV-2019";123.2
"JAN-2020";117.5
"MAR-2020";118.97
"MAI-2020";115.31
"JUL-2020";113.96
"SET-2020";116.79
"NOV-2020";117.11
"JAN-2021";125.01
"MAR-2021";149.84
"MAI-2021";151.18
"JUL-2021";158.75
"SET-2021";172.76
"NOV-2021";206.25
"JAN-2022";209.52
"MAR-2022";237.57
"MAI-2022";235.43
"JUL-2022";200.03
"SET-2022";205.04
"NOV-2022";209.17
"JAN-2023";199.26
"MAR-2023";194.69
"JUL-2023";185.02
"AGO-2023";187.26
"SET-2023";187.5
"NOV-2023";189.19
"JAN-2024";183.55
"MAR-2024";176.92
"MAI-2024";178.26
"JUL-2024";180.46
"SET-2024";184.03
"NOV-2024";187.77
"MAR-2025";193.4
"JUL-2025";193.37
"NOV-2025";183.0
