"Ano-Mes.Ano-Mes";LONDRINA-PR/Valor;PONTA GROSSA-PR/Valor
"MAR-2019";;40.91
"MAI-2019";;41.6
"JUL-2019";;43.73
"SET-2019";;44.12
"NOV-2019";;44.15
"JAN-2020";;44.78
"MAR-2020";;44.3
"MAI-2020";;44.02
"JUL-2020";;44.11
"SET-2020";;45.55
"NOV-2020";;47.55
"JAN-2021";;48.76
"MAR-2021";;48.08
"MAI-2021";;55.7
"JUL-2021";;62.2
"SET-2021";;70.2
"NOV-2021";;77.22
"JAN-2022";;83.21
"MAR-2022";;93.11
"MAI-2022";;99.54
"NOV-2022";;78.44
"JAN-2023";;82.44
"MAR-2023";;79.38
"MAI-2023";;71.68
"JUL-2023";;72.73
"SET-2023";;74.81
"NOV-2023";;67.9
"JAN-2024";;70.05
"MAR-2024";;66.49
"MAI-2024";72.59;70.46
"JUL-2024";82.26;67.25
"SET-2024";82.49;69.33
"NOV-2024";;63.3
"MAR-2025";78.59;70.55
"JUL-2025";79.78;72.14
"NOV-2025";82.26;69.59
