"Ano-Mes.Ano-Mes";PR/Valor
"MAR-2019";38.57
"MAI-2019";40.43
"JUL-2019";40.98
"SET-2019";41.72
"NOV-2019";42.69
"JAN-2020";43.49
"MAR-2020";43.49
"MAI-2020";43.86
"JUL-2020";44.76
"SET-2020";44.66
"JAN-2021";51.15
"MAR-2021";54.91
"MAI-2021";59.26
"JUL-2021";65.17
"SET-2021";73.21
"NOV-2021";81.98
"JAN-2022";86.89
"MAR-2022";83.43
"MAI-2022";97.33
"SET-2022";92.39
"NOV-2022";80.06333333333333
"JAN-2023";85.905
"MAR-2023";73.71333333333334
"MAI-2023";75.53
"JUN-2023";65.005
"JUL-2023";76.35
"SET-2023";77.83
"NOV-2023";65.062
"JAN-2024";70.78666666666666
"MAR-2024";64.5525
"MAI-2024";67.77
"JUL-2024";73.54
"SET-2024";69.57
"OUT-2024";58.145
"NOV-2024";69.63333333333334
"MAR-2025";68.435
"JUL-2025";72.92
"NOV-2025";71.92666666666666
